sample_id,snr_db,noise_type,vad_method,coverage,compute_ms
1221-135766-0002,20,white,energy,0.066,1.15
1221-135766-0002,20,white,mfcc,0.684,1.78
1221-135766-0002,20,white,spectral,0.74,3.9
1221-135766-0002,20,soundtrack,energy,0.066,1.15
1221-135766-0002,20,soundtrack,mfcc,0.439,1.75
1221-135766-0002,20,soundtrack,spectral,0.593,3.89
1221-135766-0002,10,white,energy,0.0,1.14
1221-135766-0002,10,white,mfcc,0.684,1.69
1221-135766-0002,10,white,spectral,0.74,3.92
1221-135766-0002,10,soundtrack,energy,0.0,1.15
1221-135766-0002,10,soundtrack,mfcc,0.437,1.65
1221-135766-0002,10,soundtrack,spectral,0.454,3.9
1221-135766-0002,5,white,energy,0.0,1.2
1221-135766-0002,5,white,mfcc,0.682,1.66
1221-135766-0002,5,white,spectral,0.682,3.76
1221-135766-0002,5,soundtrack,energy,0.0,1.15
1221-135766-0002,5,soundtrack,mfcc,0.446,1.64
1221-135766-0002,5,soundtrack,spectral,0.452,3.78
1221-135766-0002,0,white,energy,0.0,1.19
1221-135766-0002,0,white,mfcc,0.247,1.85
1221-135766-0002,0,white,spectral,0.458,3.77
1221-135766-0002,0,soundtrack,energy,0.0,1.14
1221-135766-0002,0,soundtrack,mfcc,0.379,1.66
1221-135766-0002,0,soundtrack,spectral,0.452,3.75
1284-1180-0000,20,white,energy,0.196,1.97
1284-1180-0000,20,white,mfcc,0.467,2.57
1284-1180-0000,20,white,spectral,0.73,6.11
1284-1180-0000,20,soundtrack,energy,0.196,2.04
1284-1180-0000,20,soundtrack,mfcc,0.409,2.54
1284-1180-0000,20,soundtrack,spectral,0.516,6.29
1284-1180-0000,10,white,energy,0.196,1.94
1284-1180-0000,10,white,mfcc,0.461,2.49
1284-1180-0000,10,white,spectral,0.547,6.16
1284-1180-0000,10,soundtrack,energy,0.161,1.91
1284-1180-0000,10,soundtrack,mfcc,0.336,2.56
1284-1180-0000,10,soundtrack,spectral,0.549,6.05
1284-1180-0000,5,white,energy,0.156,2.17
1284-1180-0000,5,white,mfcc,0.456,2.96
1284-1180-0000,5,white,spectral,0.459,6.59
1284-1180-0000,5,soundtrack,energy,0.0,1.92
1284-1180-0000,5,soundtrack,mfcc,0.409,2.6
1284-1180-0000,5,soundtrack,spectral,0.505,5.99
1284-1180-0000,0,white,energy,0.0,2.03
1284-1180-0000,0,white,mfcc,0.277,2.57
1284-1180-0000,0,white,spectral,0.337,5.99
1284-1180-0000,0,soundtrack,energy,0.0,2.0
1284-1180-0000,0,soundtrack,mfcc,0.331,2.68
1284-1180-0000,0,soundtrack,spectral,0.523,5.96
1320-122612-0001,20,white,energy,0.2,2.23
1320-122612-0001,20,white,mfcc,0.465,2.89
1320-122612-0001,20,white,spectral,0.529,7.03
1320-122612-0001,20,soundtrack,energy,0.2,2.24
1320-122612-0001,20,soundtrack,mfcc,0.444,2.92
1320-122612-0001,20,soundtrack,spectral,0.527,6.94
1320-122612-0001,10,white,energy,0.199,2.23
1320-122612-0001,10,white,mfcc,0.52,2.89
1320-122612-0001,10,white,spectral,0.6,7.68
1320-122612-0001,10,soundtrack,energy,0.144,2.22
1320-122612-0001,10,soundtrack,mfcc,0.4,2.91
1320-122612-0001,10,soundtrack,spectral,0.366,7.07
1320-122612-0001,5,white,energy,0.118,2.27
1320-122612-0001,5,white,mfcc,0.449,2.9
1320-122612-0001,5,white,spectral,0.587,6.86
1320-122612-0001,5,soundtrack,energy,0.054,2.24
1320-122612-0001,5,soundtrack,mfcc,0.415,2.97
1320-122612-0001,5,soundtrack,spectral,0.367,6.88
1320-122612-0001,0,white,energy,0.026,2.19
1320-122612-0001,0,white,mfcc,0.377,2.84
1320-122612-0001,0,white,spectral,0.511,6.82
1320-122612-0001,0,soundtrack,energy,0.026,2.19
1320-122612-0001,0,soundtrack,mfcc,0.416,2.84
1320-122612-0001,0,soundtrack,spectral,0.34,6.71
