true_class,pred_class,correct,flatness,periodicity,zcr,log_rms
white_noise,pink_noise,0,0.3435,0.1658,0.3793,-0.873
white_noise,music/soundtrack,0,0.2597,0.427,0.2736,-0.6334
white_noise,white_noise,1,0.3933,0.3522,0.3703,-1.0715
white_noise,white_noise,1,0.3686,0.5651,0.3759,-0.8084
pink_noise,music/soundtrack,0,0.0081,0.6645,0.0553,-0.9881
pink_noise,music/soundtrack,0,0.0069,0.7224,0.0411,-0.8819
pink_noise,music/soundtrack,0,0.0124,0.681,0.0791,-0.8977
pink_noise,babble,0,0.0438,0.2313,0.1609,-0.8253
pink_noise,music/soundtrack,0,0.0028,0.727,0.0462,-0.7585
pink_noise,music/soundtrack,0,0.0114,0.4545,0.0809,-0.7007
pink_noise,babble,0,0.0357,0.8339,0.1681,-0.845
pink_noise,music/soundtrack,0,0.0105,0.9116,0.0716,-0.613
pink_noise,music/soundtrack,0,0.0088,0.7186,0.0467,-0.9724
pink_noise,music/soundtrack,0,0.0122,0.5933,0.0747,-0.7741
pink_noise,music/soundtrack,0,0.0166,0.6927,0.0745,-1.0218
pink_noise,babble,0,0.0454,0.4823,0.1483,-0.8999
pink_noise,music/soundtrack,0,0.0019,0.7972,0.0396,-0.7521
pink_noise,music/soundtrack,0,0.0085,0.5391,0.0448,-0.7175
pink_noise,babble,0,0.0382,0.7545,0.1663,-0.8763
pink_noise,music/soundtrack,0,0.0043,0.8731,0.0369,-0.6129
pink_noise,music/soundtrack,0,0.0086,0.5576,0.0549,-0.9595
pink_noise,music/soundtrack,0,0.0093,0.522,0.0534,-0.8521
pink_noise,babble,0,0.0095,0.4837,0.0866,-0.8509
pink_noise,babble,0,0.0391,0.2116,0.1585,-0.8527
pink_noise,music/soundtrack,0,0.0023,0.828,0.0463,-0.7451
pink_noise,music/soundtrack,0,0.0113,0.7679,0.1004,-0.7963
pink_noise,babble,0,0.0332,0.5128,0.1519,-0.8614
pink_noise,music/soundtrack,0,0.0101,0.812,0.0635,-0.6243
pink_noise,music/soundtrack,0,0.0069,0.7241,0.0449,-1.0401
pink_noise,music/soundtrack,0,0.0121,0.7648,0.0713,-0.8168
pink_noise,babble,0,0.0145,0.2755,0.0913,-0.8416
pink_noise,babble,0,0.039,0.6075,0.155,-0.8316
pink_noise,music/soundtrack,0,0.0028,0.7429,0.0546,-0.7998
pink_noise,music/soundtrack,0,0.0142,0.8145,0.0746,-0.6379
pink_noise,babble,0,0.0328,0.4707,0.1499,-0.989
pink_noise,music/soundtrack,0,0.0026,0.6386,0.0292,-0.6279
pink_noise,music/soundtrack,0,0.0103,0.7435,0.0613,-0.9238
pink_noise,music/soundtrack,0,0.0109,0.7318,0.0767,-0.7727
pink_noise,babble,0,0.0158,0.866,0.0918,-0.9196
pink_noise,babble,0,0.0462,0.5444,0.1409,-0.9224
pink_noise,music/soundtrack,0,0.0051,0.8962,0.0676,-0.6985
pink_noise,music/soundtrack,0,0.0187,0.7739,0.1232,-0.6808
pink_noise,babble,0,0.0389,0.2527,0.1653,-0.8788
pink_noise,music/soundtrack,0,0.0036,0.7609,0.0379,-0.5911
pink_noise,music/soundtrack,0,0.0073,0.7047,0.0469,-0.9893
pink_noise,music/soundtrack,0,0.013,0.4644,0.0872,-0.7927
pink_noise,music/soundtrack,0,0.0148,0.6151,0.0681,-0.9836
pink_noise,babble,0,0.0384,0.7814,0.1487,-0.8552
pink_noise,music/soundtrack,0,0.0024,0.5009,0.0454,-0.6912
pink_noise,music/soundtrack,0,0.0152,0.736,0.1042,-0.7253
pink_noise,babble,0,0.0375,0.3174,0.164,-0.8306
pink_noise,music/soundtrack,0,0.0027,0.6434,0.0352,-0.686
pink_noise,music/soundtrack,0,0.0081,0.6735,0.0538,-1.0937
pink_noise,music/soundtrack,0,0.0058,0.8265,0.0385,-0.8436
music/soundtrack,babble,0,0.0748,0.318,0.119,-0.9908
music/soundtrack,babble,0,0.0363,0.66,0.0902,-0.8874
music/soundtrack,babble,0,0.0898,0.424,0.157,-1.0079
music/soundtrack,babble,0,0.0733,0.6862,0.2,-0.8085
music/soundtrack,music/soundtrack,1,0.0305,0.6904,0.087,-0.7731
music/soundtrack,music/soundtrack,1,0.0403,0.7848,0.0863,-0.6867
music/soundtrack,babble,0,0.0767,0.1654,0.1984,-0.9131
music/soundtrack,music/soundtrack,1,0.0198,0.7302,0.068,-0.6791
music/soundtrack,babble,0,0.0784,0.7222,0.1361,-1.1126
music/soundtrack,babble,0,0.0602,0.5774,0.1387,-0.8552
music/soundtrack,babble,0,0.0429,0.6759,0.1302,-0.8565
music/soundtrack,babble,0,0.0842,0.7247,0.185,-0.8988
music/soundtrack,music/soundtrack,1,0.0471,0.3459,0.1087,-0.7796
music/soundtrack,music/soundtrack,1,0.0513,0.4121,0.1309,-0.641
music/soundtrack,babble,0,0.0875,0.2768,0.2316,-0.8711
music/soundtrack,music/soundtrack,1,0.0205,0.7728,0.0664,-0.656
music/soundtrack,music/soundtrack,1,0.0723,0.6909,0.1198,-0.9599
music/soundtrack,music/soundtrack,1,0.0501,0.8007,0.1052,-0.8713
music/soundtrack,babble,0,0.0523,0.6828,0.1236,-0.8315
music/soundtrack,babble,0,0.0752,0.6822,0.202,-0.801
music/soundtrack,music/soundtrack,1,0.0355,0.8873,0.0896,-0.7195
music/soundtrack,music/soundtrack,1,0.0493,0.7174,0.1151,-0.676
music/soundtrack,babble,0,0.1047,0.4281,0.2156,-0.9017
music/soundtrack,music/soundtrack,1,0.0198,0.5515,0.0599,-0.646
music/soundtrack,babble,0,0.0751,0.5134,0.1165,-0.9648
music/soundtrack,babble,0,0.0922,0.5953,0.1534,-0.7973
music/soundtrack,babble,0,0.0664,0.3252,0.1472,-0.8456
music/soundtrack,babble,0,0.0826,0.7123,0.1848,-0.9153
music/soundtrack,music/soundtrack,1,0.049,0.6186,0.1111,-0.7724
music/soundtrack,music/soundtrack,1,0.0558,0.6895,0.1148,-0.6774
music/soundtrack,babble,0,0.1051,0.2257,0.2341,-0.9024
music/soundtrack,music/soundtrack,1,0.0222,0.6756,0.0638,-0.7075
music/soundtrack,babble,0,0.057,0.6167,0.1126,-0.9344
music/soundtrack,babble,0,0.0915,0.5417,0.1535,-0.7982
music/soundtrack,babble,0,0.0918,0.5258,0.1653,-1.0114
music/soundtrack,babble,0,0.088,0.5677,0.2006,-0.8414
music/soundtrack,music/soundtrack,1,0.0547,0.5033,0.1162,-0.7666
music/soundtrack,music/soundtrack,1,0.0355,0.6855,0.1223,-0.6918
music/soundtrack,babble,0,0.0752,0.6164,0.1978,-0.8035
music/soundtrack,white_noise,0,0.0202,0.2703,0.0609,-0.6626
music/soundtrack,babble,0,0.0716,0.6525,0.1477,-0.9999
music/soundtrack,babble,0,0.0389,0.6188,0.093,-0.8748
music/soundtrack,babble,0,0.0435,0.6803,0.1317,-0.822
music/soundtrack,babble,0,0.0906,0.7064,0.2035,-0.8275
music/soundtrack,music/soundtrack,1,0.0476,0.5868,0.0994,-0.7866
music/soundtrack,music/soundtrack,1,0.0338,0.6543,0.0814,-0.6707
music/soundtrack,babble,0,0.0804,0.6716,0.1909,-1.0076
music/soundtrack,music/soundtrack,1,0.0302,0.5343,0.081,-0.6667
music/soundtrack,babble,0,0.0812,0.2925,0.1268,-0.9775
music/soundtrack,music/soundtrack,1,0.0915,0.6858,0.1347,-0.8492
babble,white_noise,0,0.3861,0.153,0.3657,-0.9692
babble,white_noise,0,0.3739,0.222,0.3661,-0.9098
babble,white_noise,0,0.3903,0.0843,0.3889,-1.0304
babble,white_noise,0,0.3606,0.3046,0.3954,-0.7973
babble,music/soundtrack,0,0.3194,0.7617,0.3182,-0.7146
babble,music/soundtrack,0,0.2771,0.5072,0.2946,-0.6677
babble,white_noise,0,0.3595,0.6683,0.3831,-1.0831
babble,music/soundtrack,0,0.263,0.652,0.2702,-0.7016
babble,white_noise,0,0.3809,0.455,0.3657,-1.1212
babble,white_noise,0,0.3733,0.6094,0.3775,-0.8085
babble,white_noise,0,0.3988,0.6308,0.3982,-1.0431
babble,white_noise,0,0.3606,0.1402,0.3843,-0.9179
babble,pink_noise,0,0.3269,0.0999,0.3236,-0.7522
babble,music/soundtrack,0,0.3037,0.7,0.3323,-0.7177
babble,white_noise,0,0.3527,0.8397,0.3834,-0.8383
babble,music/soundtrack,0,0.2518,0.7277,0.2727,-0.6247
babble,white_noise,0,0.3746,0.108,0.3592,-0.9866
babble,white_noise,0,0.369,0.1394,0.3624,-0.9116
babble,music/soundtrack,0,0.322,0.4028,0.3436,-0.842
babble,white_noise,0,0.3726,0.0783,0.4056,-0.8287
babble,music/soundtrack,0,0.3366,0.7867,0.3377,-0.7534
babble,music/soundtrack,0,0.3075,0.841,0.3263,-0.702
babble,white_noise,0,0.3778,0.0883,0.4056,-0.9229
babble,pink_noise,0,0.2618,0.0696,0.2769,-0.6805
babble,white_noise,0,0.4005,0.0737,0.3817,-1.0675
babble,pink_noise,0,0.333,0.0755,0.3416,-0.8601
babble,white_noise,0,0.366,0.6664,0.3715,-0.953
babble,white_noise,0,0.3603,0.0968,0.391,-0.8111
babble,music/soundtrack,0,0.3116,0.5809,0.3133,-0.7515
babble,music/soundtrack,0,0.292,0.6112,0.3152,-0.6681
babble,white_noise,0,0.3938,0.5203,0.4162,-0.9991
babble,music/soundtrack,0,0.2774,0.849,0.2875,-0.6614
babble,white_noise,0,0.3863,0.0816,0.3711,-1.1256
babble,white_noise,0,0.3754,0.6041,0.3715,-0.7937
babble,pink_noise,0,0.3247,0.0792,0.343,-0.8706
babble,white_noise,0,0.3642,0.2317,0.4003,-0.8296
babble,white_noise,0,0.3421,0.2839,0.3407,-0.8004
babble,pink_noise,0,0.2987,0.1138,0.331,-0.7158
babble,white_noise,0,0.3523,0.1482,0.3912,-0.827
babble,music/soundtrack,0,0.2896,0.6541,0.2912,-0.696
babble,white_noise,0,0.397,0.3015,0.3744,-1.083
babble,white_noise,0,0.3709,0.1824,0.3669,-0.7655
babble,music/soundtrack,0,0.3417,0.7245,0.3566,-0.9215
babble,white_noise,0,0.3607,0.7354,0.3968,-0.8115
babble,music/soundtrack,0,0.309,0.6952,0.3095,-0.7964
babble,music/soundtrack,0,0.3095,0.8429,0.3341,-0.7232
babble,white_noise,0,0.3503,0.7661,0.3894,-0.8194
babble,pink_noise,0,0.2907,0.0974,0.2996,-0.6821
babble,white_noise,0,0.3785,0.0837,0.3569,-0.9933
babble,white_noise,0,0.3955,0.0948,0.3925,-0.842
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
silence,silence,1,0.0,0.0,0.0,-10.0
